HLA,group_label,training_data,n_reps,mean,std
pooled,Non-PT E 0L,1899.2,3,0.1026908395301708,0.0
pooled,Non-PT E 0L,1950.4,3,0.05952380952380956,0.0
pooled,Non-PT E 0L,1981.6000000000001,3,0.1742378296148089,0.0
pooled,Non-PT E 0L,1995.6,3,0.49285714285714277,0.0
pooled,Non-PT E 0L,2040.6,3,0.534965034965035,0.0
pooled,Non-PT E 0L,2068.8,3,0.0,0.0
pooled,Non-PT E 0L,2130.85,3,0.035714285714285754,0.0
pooled,Non-PT E 0L,2160.2999999999997,3,0.2142857142857143,0.0
pooled,Non-PT E 0L,2234.4,3,0.3966805067341228,0.0
pooled,Non-PT E 0L,2255.2999999999997,3,0.20477654741903256,0.0
pooled,Non-PT E 0L,2272.7999999999997,3,0.5505364201016375,0.0
pooled,Non-PT E 0L,2274.0,3,0.4403804529053593,0.0
pooled,Non-PT E 0L,2286.8,3,0.42049487464972324,0.0
pooled,Non-PT E 0L,2349.6,3,0.09512742926847026,0.0
pooled,Non-PT E 0L,2353.15,3,0.1125570273851546,0.0
pooled,Non-PT E 0L,2362.4,3,0.0,0.0
